problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,total_flow,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.007015,4,True,inv-cap,0,26051.380638930714,0.30779242515563965,0.012861013412475586,0.011210203170776367,0.0029053688049316406,0.0041658878326416016,0.27664995193481445
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.007015,4,True,inv-cap,1,3317.1636207287565,0.030465126037597656,0.013838052749633789,0.0034418106079101562,0.002888202667236328,0.005281925201416016,0.005015134811401367
GtsCe.graphml,149,386,1046627526,uniform,128.0,22052,70537.578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.007015,4,True,inv-cap,2,888.0525412108362,0.02673816680908203,0.012459993362426758,0.002317190170288086,0.003111124038696289,0.004770994186401367,0.004078865051269531
GtsCe.graphml,149,386,1551759509,uniform,128.0,22052,70922.0078125,ncflow_edge_per_iter,fm_partitioning,36,16,0.00597,4,True,inv-cap,0,26082.779088189593,0.17721891403198242,0.018466949462890625,0.00893402099609375,0.002704143524169922,0.004270792007446289,0.14284300804138184
GtsCe.graphml,149,386,1551759509,uniform,128.0,22052,70922.0078125,ncflow_edge_per_iter,fm_partitioning,36,16,0.00597,4,True,inv-cap,1,3773.160218301695,0.02817511558532715,0.011850833892822266,0.0027768611907958984,0.003057718276977539,0.005255937576293945,0.0052337646484375
GtsCe.graphml,149,386,1551759509,uniform,128.0,22052,70922.0078125,ncflow_edge_per_iter,fm_partitioning,36,16,0.00597,4,True,inv-cap,2,944.6989876119474,0.024758338928222656,0.011096000671386719,0.0029630661010742188,0.002696990966796875,0.004637002944946289,0.0033652782440185547
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00591,4,True,inv-cap,0,11522.937696836103,0.3373892307281494,0.00403594970703125,0.008903980255126953,0.20452308654785156,0.003930091857910156,0.11599612236022949
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00591,4,True,inv-cap,1,748.6033142083625,0.17571616172790527,0.003818035125732422,0.0024871826171875,0.002652883529663086,0.0029850006103515625,0.1637730598449707
GtsCe.graphml,149,386,1041073419,uniform,32.0,22052,17602.65625,ncflow_edge_per_iter,fm_partitioning,36,16,0.00591,4,True,inv-cap,2,253.4778150727991,0.015655040740966797,0.0029799938201904297,0.0028150081634521484,0.002979755401611328,0.0027799606323242188,0.004100322723388672
GtsCe.graphml,149,386,1426218718,uniform,32.0,22052,17623.951171875,ncflow_edge_per_iter,fm_partitioning,36,16,0.006431,4,True,inv-cap,0,11487.871514441926,1.0968565940856934,0.0040130615234375,0.008638858795166016,1.0185179710388184,0.003821849822998047,0.06186485290527344
GtsCe.graphml,149,386,1426218718,uniform,32.0,22052,17623.951171875,ncflow_edge_per_iter,fm_partitioning,36,16,0.006431,4,True,inv-cap,1,609.8924106983928,0.02086925506591797,0.008227109909057617,0.0024900436401367188,0.0028884410858154297,0.0028998851776123047,0.0043637752532958984
GtsCe.graphml,149,386,1426218718,uniform,32.0,22052,17623.951171875,ncflow_edge_per_iter,fm_partitioning,36,16,0.006431,4,True,inv-cap,2,336.1317734839048,0.014360189437866211,0.002892017364501953,0.002285003662109375,0.002572774887084961,0.0025129318237304688,0.004097461700439453
GtsCe.graphml,149,386,11310254,uniform,2.0,22052,1106.06396484375,ncflow_edge_per_iter,fm_partitioning,36,16,0.00578,4,True,inv-cap,0,1106.0639802632068,0.19008731842041016,0.004921913146972656,0.009037017822265625,0.0033833980560302734,0.003643035888671875,0.16910195350646973
GtsCe.graphml,149,386,1990208505,uniform,2.0,22052,1101.296142578125,ncflow_edge_per_iter,fm_partitioning,36,16,0.005595,4,True,inv-cap,0,1101.2961646497643,0.1844334602355957,0.0020279884338378906,0.00910806655883789,0.0031943321228027344,0.0041921138763427734,0.16591095924377441
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005463,4,True,inv-cap,0,6875.636735013501,0.9722256660461426,0.008591890335083008,0.010194063186645508,0.003370046615600586,0.004126787185668945,0.9459428787231445
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005463,4,True,inv-cap,1,474.2680268685799,0.01745915412902832,0.0038421154022216797,0.0028040409088134766,0.0030095577239990234,0.0022211074829101562,0.005582332611083984
GtsCe.graphml,149,386,1847141163,uniform,16.0,22052,8821.240234375,ncflow_edge_per_iter,fm_partitioning,36,16,0.005463,4,True,inv-cap,2,179.43572839908302,0.023724079132080078,0.0008769035339355469,0.0025250911712646484,0.002928018569946289,0.0018210411071777344,0.01557302474975586
GtsCe.graphml,149,386,250679355,uniform,16.0,22052,8781.0078125,ncflow_edge_per_iter,fm_partitioning,36,16,0.006731,4,True,inv-cap,0,6871.745375087223,0.22056269645690918,0.0035698413848876953,0.009413957595825195,0.003332853317260742,0.003962039947509766,0.20028400421142578
